Project,Bug ID,Severity Label,Resolution Status,Short Description
Core,562837,normal,FIXED,TM: avoid reboxing when copying a double from one array to another
Core,688238,normal,FIXED,Move Init() arguments into the constructor
Core,369233,normal,FIXED,"""ASSERTION: Unknown gradientUnits type"""
Platform,129351,normal,FIXED,Mismatched selection in Launch Configuration Dialog after rename
Core,630835,normal,FIXED,Transition paint wrong fragments at the end of transition for 1-2 seconds.
Core,725105,normal,FIXED,Fix single buffering in GL layers
Core,386395,normal,FIXED,Old border not removed when updating a div that's positioned from bottom
Firefox,401211,normal,FIXED,"middleclick ""Open All in Tabs"" opens the bookmarks twice"
Core,537784,normal,FIXED,AIX port compilation error in js/src/jsstdint.h
Core,807895,normal,FIXED,Remove BSD/OS code
Core,793365,normal,FIXED,Corruption when panning around in async pan/zoomed pages (buffer rotation going wrong?)
Core,559710,normal,FIXED,Don't add a br node under text controls when the editor is not initialized for them yet
JDT,186113,normal,FIXED,classpath variable deprecation messages not initialized when called
Core,532998,normal,FIXED,Horrible performance with a small textarea element and huge lines of text
Core,770252,normal,FIXED,HTML Video / Audio Playback and Headphones
Core,779809,normal,FIXED,NS_FORWARD_SAFE_* produces incorrect macros for non-nsresult return types
Core,557538,normal,FIXED,custom GC chunk allocation
Core,758823,normal,FIXED,configure creates egg-info directories in the source tree
Core,675135,normal,FIXED,should use -Fo instead of -o on MASM
Firefox,781186,normal,FIXED,"Navigating between pages initially shows ""No Scripts"" in the menulist"
Core,711300,normal,FIXED,Add GPS support for gonk
JDT,342410,normal,FIXED,[quick assist] 'Pick out selected part of string' does not have any tests
Core,479525,normal,FIXED,TM: nanojit doesn't work on Windows CE
Core,543709,normal,FIXED,trace-test/tests/basic/bug529130.js failed with debug version on Solaris
Core,800031,normal,FIXED,Include paint time in tab switch telemetry
Core,776700,normal,FIXED,Pref off new toSource method
Firefox,411784,normal,FIXED,FEBE addon not available/working for Firefox 3
JDT,154511,normal,FIXED,[reorg] Move should only do validateEdit on files that really changed
Platform,131321,normal,FIXED,[Common Navigator] Sorters should be given access to a site as well
Core,787788,normal,FIXED,Downmixing weights for 6.1 Opus files are wrong
Core,489549,normal,FIXED,Buttons of HTML5 audio and video element control set have no accessible names
Firefox,738979,normal,FIXED,pdf.js: pdf background is black instead of white
Core,784260,normal,FIXED,[Azure] DrawTargetD2D::CreateBrushForPattern should be able to deal with surfaces from other Azure backends
Platform,223391,normal,FIXED,unable to change button sizes
Core,350670,normal,FIXED,"Incorrect decompilation of ""for(z() in x)"""
Core,684889,normal,FIXED,refactor Android font management to remove redundant code and avoid double-scanning fonts dir
Core,679090,normal,FIXED,IPv6 broken in Firefox Aurora
Bugzilla,578256,normal,FIXED,Autocomplete user names in the search UI
Core,778326,normal,FIXED,Create Permission.txt that
Core,387437,normal,FIXED,specify wanted app to l10n.py
Core,448987,normal,FIXED,"<area shape=""default""> does not render focus outline"
Firefox,586211,normal,FIXED,Restore hidden tabs after visible ones
Firefox,354227,normal,FIXED,Yoono extension not working
Firefox,395739,normal,FIXED,adaptive learning (match entered text to selected item) in url bar autocomplete
Core,457949,normal,FIXED,no need for Stopwatch
CDT,224463,normal,FIXED,Suspend and Run actions don't update after step operation
JDT,186189,normal,FIXED,NPE trying to open the following class using the ASTView
Thunderbird,540057,normal,FIXED,Release Notes for Thunderbird 3.1 Alpha 1 - (3.1a1)
Core,397305,normal,FIXED,Leaking an nsStringBuffer+nsCStringArray (nsVoidArray) determining whether file paths start with a volume name
Platform,132233,normal,FIXED,Conflicting documentation for Setting the VM using -vm
Firefox,328329,normal,FIXED,Optimize hisotry database indices
Firefox,580618,normal,FIXED,GC removes HeadsUpDisplay after reloading the page
Firefox,375243,normal,FIXED,Remove some unused browser strings
Platform,249286,normal,FIXED,Table.setTopIndex does not work correctly when MeasureItem
Core,390735,normal,FIXED,"innerHTML skips <meta http-equiv=""content-type"" charset=...>"
Platform,123800,normal,FIXED,InterruptedExceptions being logged many times
Platform,218079,normal,FIXED,[CheatSheet] Tray Dialog does not close correctly on Mac
Platform,181930,normal,FIXED,NLS33: Translation Question
Firefox,406387,normal,FIXED,Move System Defaults from Main to Advanced - General
Core,395286,normal,FIXED,[10.5] Buttons become square when using text zoom
Platform,224444,normal,FIXED,"Add mnemonic to releng tool for ""release..."""
Platform,183954,normal,FIXED,Failure in testBasicMenuPopulation
Core,520101,normal,FIXED,Audio/video sync lost when hotswapping sound output
Firefox,823436,normal,FIXED,Global search not working
Platform,267404,normal,FIXED,ServiceLocator is never activated/deactivated for workbench parts
Core,519974,normal,FIXED,"When we use IME, ASSERTION is printed at each key input (ASSERTION: nsEditor doesn't support wide caret: 'selectionStart == selectionEnd', editor/libeditor/base/IMETextTxn.cpp line 322"
Core,386988,normal,FIXED,"float regression (rendering no longer matches older firefox, opera or konqueror)"
CDT,201330,normal,FIXED,code formater fooled by sizeof()
Core,558598,normal,FIXED,XUL splitters should be collapsed on the correct side in RTL mode
Core,594680,normal,FIXED,Update about:license with the relevant information for V8
Core,812368,normal,FIXED,B2G RIL: dispatch 'telephony-new-call' system message directly after receiving UNSOLICITED_CALL_RING from rild
Core,518744,normal,FIXED,TM: mark and rewind dataAlloc
Core,769743,normal,FIXED,simplify ScopedCoordinate::slot and fix names
Firefox,707492,normal,FIXED,GCLI should provide test files to firefox without concatenating them
Core,555208,normal,FIXED,[OOP] fix ordering of NP_Initialize and NP_GetEntryPoints calls for Mac OS X
Core,450174,normal,FIXED,Remove static string from nsDOMOfflineResourceList.cpp
Core,370255,normal,FIXED,ASSERTION: frame not dirty: 'aFrame->GetStateBits() & (NS_FRAME_IS_DIRTY | NS_FRAME_HAS_DIRTY_CHILDREN)' on changing page direction
Core,769803,normal,FIXED,WebSMS broken due to IndexedDB API Change
Core,760145,normal,FIXED,Profilers save fail to reload
Core,496743,normal,FIXED,TM: merge global type maps at the loop nesting anchor site
Firefox,783025,normal,FIXED,Replace String.indexOf(...) != -1 with String.contains(...) in browser/base/
Firefox,751924,normal,FIXED,JS strict warnings in gGestureSupport code because functions don't always return a value
Platform,165036,normal,FIXED,Strange table coloring on Vista
Firefox,584334,normal,FIXED,AsyncResolve should not be called with an empty host string
JDT,186976,normal,FIXED,use SWT.COLOR_WIDGET_BACKGROUND for disabled backgrounds
Firefox,508000,normal,FIXED,Clears Search When Exit Private Browsing
Thunderbird,329441,normal,FIXED,am-offline.xul l10n issues
CDT,310104,normal,FIXED,tests AbstractDummyProvider leaks configurations if core.tests is in runtime workspace
Core,691336,normal,FIXED,Firefox/Thunderbird need option not to update themselves OR extensions until everything is compatible
Core,736316,normal,FIXED,Components.utils.getGlobalForObject should unwrap cross-compartment wrappers
Core,704729,normal,FIXED,extra semicolon after NS_DECL_EVENT_HANDLER() caused compile error with Solaris Studio
Platform,139504,normal,FIXED,Update manifest to compile against Foundation 1.0: org.eclipse.help.ui
Core,329162,normal,FIXED,crash [@ gfxWindowsTextRun::MeasureOrDrawAscii]
CDT,193559,normal,FIXED,NullPointerException at org.eclipse.jface.action.ActionContributionItem.<init>
Firefox,719538,normal,FIXED,use nsIWindowsRegKey in Windows shell service
Bugzilla,648096,normal,FIXED,UWinnipeg (theory PPM repo) instructions are not necessary with recent ActiveState releases
JDT,171988,normal,FIXED,Search references in working set still finds matches in prereq projects
Firefox,488772,normal,FIXED,Functional tests for Private Browsing mode not possible due to connection drop
Core,659932,normal,FIXED,GLXtest process should check for GLX >= 1.3 before calling glXCreatePixmap
Core,450692,normal,FIXED,"XPC_WN_{Equality,{Outer,Inner}Object} are unconditionally added to shared JSClasses"
Core,548014,normal,FIXED,remove Mac OS X 10.4 support from Cocoa native menus
Firefox,421529,normal,FIXED,Menu items in bookmarks manager don't get a hovered look anymore
Platform,341348,normal,FIXED,version of org.eclipse.core.net.linux.x86 needs to be incremented
Core,359341,normal,FIXED,Various device context leaks due to badly-documented APIs
Platform,310631,normal,FIXED,ant chkpii errors in I20100426-0852
Core,776552,normal,FIXED,Remove the MOZ_SVG_DLISTS build time flag
Core,519136,normal,FIXED,Clean up media-related logging
Core,714393,normal,FIXED,IonMonkey: integer-2 fails with type inference assert
Core,521863,normal,FIXED,Vorbis audio file with enormous hole in it refuses to play.
Core,718133,normal,FIXED,Remove keyboard shortcuts for zooming to 1:1 scale when viewing standalone images
Firefox,347691,normal,FIXED,"[Mac] New close-tab button is a tiny, off-center stop button"
CDT,316306,normal,FIXED,[C++0x] Add support for c++0x features implemented in gcc 4.5
Core,602574,normal,FIXED,"Assertion failure: constOffset != 0, at js/src/jsscript.h:381"
JDT,200067,normal,FIXED,code assist no longer suggests templates for method completions as it did in 3.2
