bug_id,description,my_schema_type,my_review,disagree,confidence,review_note
127246,NPE in ViewContextService.perspectiveChanged,backend,backend,False,,
135559,Problem view sections collapse after manual build,frontend,frontend,False,,
136088,Source Editor: Unwanted static imports added when using calling super,frontend,frontend,False,,
138389,Unable to start workbench,frontend,frontend,False,,
138975,ConcurrentModificationException in Saveables framework when closing part,backend,backend,False,,
139101,Factory Path dialog buttons enabled when shouldn't be,frontend,frontend,False,,
142529,eclipse doesn't run,other,other,False,,
142744,NPE in DecoratedField.updateControlAttachments(...),frontend,frontend,False,,
145389,CDT parser has problems with assembly code,backend,backend,False,,
145558,update plugins to use version  3.1.100.qualifier,other,other,False,,
150155,Clicking in textfield sets cursor to one before last char,frontend,frontend,False,,
153116,[rulers] Contributing a ruler to a class should always use inheritance,backend,backend,False,,
153765,Rename package is not reflected in annotations,backend,backend,False,,
154944,Holding mouse down on Table blocks Display.asyncExec and syncExec,frontend,frontend,False,,
173881,Error logged about missing ResourceNavigator when opening Resource Perspective,frontend,frontend,False,,
182843,NPE when trying to see conflicting changes,backend,backend,False,,
183954,Failure in testBasicMenuPopulation,frontend,frontend,False,,
197626,[clean up] Clean Up configuration dialog talks about save actions,frontend,frontend,False,,
202456,Variable Selection Dialog needs better help,frontend,frontend,False,,
210825,NSBox seems to be a few pixels short,frontend,frontend,False,,
221029,The hover pop-up displays C/C++ comments for classes with wrong encoding,frontend,frontend,False,,
235868,"TVT34:TCT751: Hardcoded ""auto"" in the list ""Specify processor architecture""",frontend,frontend,False,,
239856,Launches corrupted in I20080702-0939,other,other,False,,
243845,API Tooling tag for org.eclipse.compare.patch.PatchConfiguration,backend,backend,False,,
246189,Ant UI test suite is not single-file friendly,frontend,frontend,False,,
272489,"Debug view: ""View Mode"" menu misses mnemonics",frontend,frontend,False,,
272532,"""Use modifier 'final' where possible"" can introduce compile errors",backend,backend,False,,
272986,changes to ICommandLauncher,backend,backend,False,,
275945,[clipboard] regression: pasting text from file properties to java editor seems to be in wrong format,frontend,frontend,False,,
277098,Breakpoint shown offset in margin,frontend,frontend,False,,
290273,R3_5_maintenance branch in inconsistent state,other,other,False,,
291788,Focus lost after F3,frontend,frontend,False,,
293777,Misleading problem when @Override is used on mehtod with not imported paramter type,backend,backend,False,,
298696,Mac key bindings for refactoring are invalid,frontend,frontend,False,,
300888,Ignored Resources' preference page needs to support multiselect,frontend,frontend,False,,
302529,Show Eclipse IDE progress in the Eclipse icon on the Windows 7 Task Bar,frontend,frontend,False,,
317253,[Webapp] Topics whose href includes an anchor do not show in the index when filtering is on,frontend,frontend,False,,
323958,"""DTD verification"" is obsolete",other,other,False,,
326137,Dsf attach session requires project,backend,backend,False,,
326594,Consider using backtrace() for Unix stack traces,backend,backend,False,,
328187,crash at IMAP login with GSSAPI authentication using SSPI library,backend,backend,False,,
328876,Avoid compiler warning in nsFrame::GetSelectionClosestFrame(),backend,backend,False,,
336100,Attributes to var arguments = window.arguments[0]; give void an evaluation,backend,backend,False,,
336162,nsListControlFrame::FireMenuItemActiveEvent called at unsafe times,backend,backend,False,,
339540,Remove dead find code from browser.xml and tabbrowser.xml,frontend,frontend,False,,
346501,"Release Bugzilla 2.18.6, 2.20.3, 2.22.1, and 2.23.3",other,other,False,,
348810,Crash when sorting array with only holes,backend,backend,False,,
348999,"deadcode in nsCSSFrameConstructor::ConstructMathMLFrame, isReplaced will not be true",backend,backend,False,,
354676,If I click on the page thats not text or hyperlink the page goes blank and white.,frontend,frontend,False,,
359050,Element Propeties - Link Properties incorrectly displays open in new window/tab,frontend,frontend,False,,
361117,"Update ""Release Info"" pages for Bugzilla 2.22.2 and 2.23.4",other,other,False,,
362351,"After I changed a ""List"", the list props not changed on the screen...",frontend,frontend,False,,
367740,Crash [@ ARGB32_image_mark],frontend,frontend,False,,
367894,"Missing separator after the ""Sanity Check"" link in the footer",frontend,frontend,False,,
369669,Version/config bumps for Fx 1.5.0.10,other,other,False,,
371147,about: should use about:logo again,frontend,frontend,False,,
373606,Version/config bumps for Fx 150eleven,other,other,False,,
373869,In search result screen sort the bugs by any custom field displays an error screen,frontend,frontend,False,,
380429,Default search engine not preserved when updating from 2003->2004RC2,backend,frontend,True,weak,User-facing setting persistence on update
381108,Inconsistent use of space after colon in object literal decompilation,backend,backend,False,,
382823,Version/config bumps for Tb 2004,other,other,False,,
385034,Autoscroll doesn't cancel properly on second middle-click,frontend,frontend,False,,
390735,"innerHTML skips <meta http-equiv=""content-type"" charset=...>",frontend,frontend,False,,
393293,"Update Download page for Bugzilla 3.0.1, 3.1.1, 2.22.3, and 2.20.5",other,other,False,,
393517,"Crash [@ nsFrameConstructorState::ProcessFrameInsertions] with float, XUL, block-in-inline",frontend,frontend,False,,
395053,"File , Open File insists on opening a file from the Firefox installer directory",frontend,frontend,False,,
395272,toolkit/toolkit-makefiles.sh should include uriloader/exthandler/tests directory,other,other,False,,
397222,Bogus 'for' attributes shadowing 'control' attributes on <label>s,frontend,frontend,False,,
401298,Including jsapi.h generates many warnings with certain compiler configurations (e.g. gcc 3.4 -Wstrict-prototypes),backend,backend,False,,
401341,ctrl-tab sends events twice on Mac OS X 10.5,frontend,frontend,False,,
407397,Line break remains when removing space,frontend,frontend,False,,
415367,"ieTab extension not working due to use of "":"" in chrome URIs",frontend,frontend,False,,
418648,configure changes required for building on windows mobile,other,other,False,,
418970,DOMNodeInsertedIntoDocument mistyped as *InfoDocument,frontend,frontend,False,,
420329,Java applets can't be seen in FireFox for Mac Leopard,frontend,frontend,False,,
421871,Browser crashes on startup on Vista 32/64 ultimate with HTML Validator extension installed,frontend,frontend,False,,
424976,Chrome in Compose Window Missing Post First Launch of Thunderbird,frontend,frontend,False,,
