bug_id,description,my_review
127246,NPE in ViewContextService.perspectiveChanged,backend
135559,Problem view sections collapse after manual build,frontend
136088,Source Editor: Unwanted static imports added when using calling super,frontend
138389,Unable to start workbench,frontend
138975,ConcurrentModificationException in Saveables framework when closing part,backend
139101,Factory Path dialog buttons enabled when shouldn't be,frontend
142529,eclipse doesn't run,other
142744,NPE in DecoratedField.updateControlAttachments(...),frontend
145389,CDT parser has problems with assembly code,backend
145558,update plugins to use version  3.1.100.qualifier,other
150155,Clicking in textfield sets cursor to one before last char,frontend
153116,[rulers] Contributing a ruler to a class should always use inheritance,backend
153765,Rename package is not reflected in annotations,backend
154944,Holding mouse down on Table blocks Display.asyncExec and syncExec,frontend
173881,Error logged about missing ResourceNavigator when opening Resource Perspective,frontend
182843,NPE when trying to see conflicting changes,backend
183954,Failure in testBasicMenuPopulation,frontend
197626,[clean up] Clean Up configuration dialog talks about save actions,frontend
202456,Variable Selection Dialog needs better help,frontend
210825,NSBox seems to be a few pixels short,frontend
221029,The hover pop-up displays C/C++ comments for classes with wrong encoding,frontend
235868,"TVT34:TCT751: Hardcoded ""auto"" in the list ""Specify processor architecture""",frontend
239856,Launches corrupted in I20080702-0939,other
243845,API Tooling tag for org.eclipse.compare.patch.PatchConfiguration,backend
246189,Ant UI test suite is not single-file friendly,frontend
272489,"Debug view: ""View Mode"" menu misses mnemonics",frontend
272532,"""Use modifier 'final' where possible"" can introduce compile errors",backend
272986,changes to ICommandLauncher,backend
275945,[clipboard] regression: pasting text from file properties to java editor seems to be in wrong format,frontend
277098,Breakpoint shown offset in margin,frontend
290273,R3_5_maintenance branch in inconsistent state,other
291788,Focus lost after F3,frontend
293777,Misleading problem when @Override is used on mehtod with not imported paramter type,backend
298696,Mac key bindings for refactoring are invalid,frontend
300888,Ignored Resources' preference page needs to support multiselect,frontend
302529,Show Eclipse IDE progress in the Eclipse icon on the Windows 7 Task Bar,frontend
317253,[Webapp] Topics whose href includes an anchor do not show in the index when filtering is on,frontend
323958,"""DTD verification"" is obsolete",other
326137,Dsf attach session requires project,backend
326594,Consider using backtrace() for Unix stack traces,backend
328187,crash at IMAP login with GSSAPI authentication using SSPI library,backend
328876,Avoid compiler warning in nsFrame::GetSelectionClosestFrame(),backend
336100,Attributes to var arguments = window.arguments[0]; give void an evaluation,backend
336162,nsListControlFrame::FireMenuItemActiveEvent called at unsafe times,backend
339540,Remove dead find code from browser.xml and tabbrowser.xml,frontend
346501,"Release Bugzilla 2.18.6, 2.20.3, 2.22.1, and 2.23.3",other
348810,Crash when sorting array with only holes,backend
348999,"deadcode in nsCSSFrameConstructor::ConstructMathMLFrame, isReplaced will not be true",backend
354676,If I click on the page thats not text or hyperlink the page goes blank and white.,frontend
359050,Element Propeties - Link Properties incorrectly displays open in new window/tab,frontend
361117,"Update ""Release Info"" pages for Bugzilla 2.22.2 and 2.23.4",other
362351,"After I changed a ""List"", the list props not changed on the screen...",frontend
367740,Crash [@ ARGB32_image_mark],frontend
367894,"Missing separator after the ""Sanity Check"" link in the footer",frontend
369669,Version/config bumps for Fx 1.5.0.10,other
371147,about: should use about:logo again,frontend
373606,Version/config bumps for Fx 150eleven,other
373869,In search result screen sort the bugs by any custom field displays an error screen,frontend
380429,Default search engine not preserved when updating from 2003->2004RC2,frontend
381108,Inconsistent use of space after colon in object literal decompilation,backend
382823,Version/config bumps for Tb 2004,other
385034,Autoscroll doesn't cancel properly on second middle-click,frontend
390735,"innerHTML skips <meta http-equiv=""content-type"" charset=...>",frontend
393293,"Update Download page for Bugzilla 3.0.1, 3.1.1, 2.22.3, and 2.20.5",other
393517,"Crash [@ nsFrameConstructorState::ProcessFrameInsertions] with float, XUL, block-in-inline",frontend
395053,"File , Open File insists on opening a file from the Firefox installer directory",frontend
395272,toolkit/toolkit-makefiles.sh should include uriloader/exthandler/tests directory,other
397222,Bogus 'for' attributes shadowing 'control' attributes on <label>s,frontend
401298,Including jsapi.h generates many warnings with certain compiler configurations (e.g. gcc 3.4 -Wstrict-prototypes),backend
401341,ctrl-tab sends events twice on Mac OS X 10.5,frontend
407397,Line break remains when removing space,frontend
415367,"ieTab extension not working due to use of "":"" in chrome URIs",frontend
418648,configure changes required for building on windows mobile,other
418970,DOMNodeInsertedIntoDocument mistyped as *InfoDocument,frontend
420329,Java applets can't be seen in FireFox for Mac Leopard,frontend
421871,Browser crashes on startup on Vista 32/64 ultimate with HTML Validator extension installed,frontend
424976,Chrome in Compose Window Missing Post First Launch of Thunderbird,frontend
427938,Phishing protection does not seem to be working properly in Firefox 3; this is a serious regression in effectiveness from Firefox 2,backend
428288,[@ NS_GetInnermostURI - nsDocShell::ValidateOrigin],backend
429624,Remove description from application accessible,frontend
432454,Library View settings are not persistant,frontend
434602,"After being open a few minutes, large parts of the screen don't repaint",frontend
437276,Firefox uses wrong font for Oromo text,frontend
444128,|MacApplicationDelegate| in toolkit throws ObjC exception when creating a |NSMenuItem| with a |nil| |NSString *|,backend
449812,"useless ""select all"" context menu entry",frontend
453736,"Crash under nsSVGElement::BindToTree with <svg:use>, <svg:script>",frontend
460706,Crash [@ little2_updatePosition] with xmlhttprequest and large xml file,backend
462076,Dynamically inserted iframes on refresh sometimes trade places,frontend
463527,Release Notes for 2.22.6,other
467146,font-size text attribute should be exposed in pt units,frontend
474862,Plural rule for Icelandic,other
